"file","class","strategy","score","code_quality","has_sl","has_tp","has_trailing","has_grid","has_martingale","has_equity_stop","has_time_filter","has_money_mgmt","indicators","timeframe","function_count","obfuscated_count"
"Ilan_T1000_Plus2.mq4","B","Scalping","59","clean","True","True","True","False","False","True","False","False","RSI","Any","3","0"
"Ilan_Tren_AHP_2010.mq4","B","GridMartingale","57","clean","True","True","True","True","False","True","False","False","","Any","3","0"
"ILAN_TURBO_BETA_v.4.5.11_Plus.mq4","B","Scalping","59","clean","True","True","True","False","False","True","False","False","RSI","Any","3","0"
"ILAN_TURBO_BETA_v.4.5.1_Plus_PcntM.mq4","B","Scalping","58","clean","True","True","True","False","False","True","False","False","RSI","Any","0","0"
"Ilan_VS_TrendTrading_LastTP_v1_2.mq4","B","GridMartingale","51","clean","True","True","True","True","False","False","False","False","CCI","Any","1","0"
"Ilan_VS_TrendTrading_Trail.mq4","B","GridMartingale","51","clean","True","True","True","True","False","False","False","False","CCI","Any","1","0"
"Indicator Max Pips.mq4","C","Trend","45","clean","True","True","False","False","False","False","False","False","MA","Any","0","0"
"Investing.mq4","C","GridMartingale","41","clean","False","True","False","True","False","False","True","True","RSI","Any","0","0"
"Iron Scalper EA.mq4","C","GridMartingale","46","clean","True","False","True","True","False","False","False","False","MA, RSI","Any","3","0"
"iSwing v5.3.mq4","C","Unknown","10","clean","False","False","False","False","False","False","False","False","","Any","0","0"
"i_TDI_MA_01.mq4","C","Scalping","36","clean","False","True","False","False","False","False","False","False","MA, RSI","Any","0","0"
"JabrixScalperForInsta.mq4","C","Unknown","29","partially_obfuscated","True","False","True","False","False","False","False","True","","Any","3","7"
"janda tukang rename.mq4","B","Scalping","54","clean","True","True","True","False","False","False","False","False","RSI","Any","6","0"
"Jum+StoC+v2.3F~.mq4","C","GridMartingale","18","obfuscated","True","True","True","False","True","False","False","False","MA, Stochastic","Any","1","22"
"Jum+StoCh luis.mq4","C","GridMartingale","15","obfuscated","True","True","True","False","True","False","False","False","Stochastic","Any","1","13"
"Jum+StoCh+v2 (3).5F.mq4","C","GridMartingale","15","obfuscated","True","True","True","False","True","False","False","False","Stochastic","Any","1","14"
"Jum+StoCh+v2.3F.mq4","C","GridMartingale","18","obfuscated","True","True","True","False","True","False","False","False","MA, Stochastic","Any","1","18"
"Jum+StoCh+v2.5F.mq4","C","GridMartingale","15","obfuscated","True","True","True","False","True","False","False","False","Stochastic","Any","1","14"
"JUMSTOCH_FIXEDLOT.mq4","C","GridMartingale","15","obfuscated","True","True","True","False","True","False","False","False","Stochastic","Any","1","14"
"KGFv1.mq4","B","GridMartingale","58","clean","True","True","True","True","False","True","False","False","RSI","Any","0","0"
"Life Changer EA.mq4","C","MeanReversal","33","clean","False","True","False","False","False","False","False","False","RSI","M1","0","0"
"M-Sniper EA.mq4","C","GridMartingale","42","clean","True","False","False","True","False","False","False","False","RSI","Any","0","0"
"MA-RSI-EA.mq4","C","Trend","35","clean","False","False","False","False","False","False","False","False","MA, RSI","Any","10","0"
"MACD Cross Zero EA v1.02.mq4","A","Trend","64","clean","True","True","True","False","True","False","True","True","MA, MACD","Any","0","0"
"MACD Sample.mq4","B","Trend","52","clean","True","True","True","False","False","False","False","False","MA, MACD","Any","1","0"
"MaHadgeEA.mq4","B","Scalping","56","clean","True","True","True","False","False","False","True","False","MA, RSI","Any","0","0"
"MA_Cross_with_Exit_EA.mq4","B","Scalping","55","clean","True","True","True","False","False","False","False","True","MA","Any","0","0"
