"file","class","strategy","score","indicators","has_sl","has_tp","code_quality"
"SilverTrendTrader.mq4","B","Scalping","58","MA, DeMarker","True","True","clean"
"SilverTrendTrader_v3.mq4","B","Trend","56","MA, ADX","True","True","clean"
"SilverTrendTrader_v3_JMA.mq4","B","Scalping","53","ADX","True","True","clean"
"SilverTrendTrader_v3_JTPO.mq4","B","Scalping","53","ADX","True","True","clean"
"SilverTrendTrader_v3_JTPO1.mq4","B","Scalping","53","ADX","True","True","clean"
"SilverTrendTrader_v4.mq4","B","Scalping","53","MA","True","True","clean"
"SilverTrendTrader_v4_JTPO.mq4","B","Scalping","53","ADX","True","True","clean"
"SilverTrendTrader_v5.mq4","B","Scalping","53","MA","True","True","clean"
"SilverTrendTrader_v6.mq4","B","Scalping","53","MA","True","True","clean"
"SilverTrendTrader_v7.mq4","B","Scalping","55","MA, CCI","True","True","clean"
"SilverTrendV3 (2).mq4","B","Scalping","53","ADX","True","True","clean"
"SilverTrendV3.mq4","B","Scalping","53","ADX","True","True","clean"
"Simple Expert Advisor.mq4","B","Scalping","51","MA","True","True","clean"
"Simple Stoch Divergence EA.mq4","B","MeanReversal","59","MA, Stochastic, Bollinger","True","True","clean"
"simple-macd-EA.mq4","B","Trend","50","MA, MACD","True","False","clean"
"Simple-macd-ea_www_forex-instruments_info.mq4","B","Trend","50","MA, MACD","True","False","clean"
"SimpleH1_GBPUSD_EAv9.mq4","B","Scalping","53","MA, Fractals","True","True","clean"
"SimpleSAR_EA2.mq4","B","Scalping","49","","True","True","clean"
"simple_copier.mq4","B","MeanReversal","49","RSI","True","True","clean"
"simple_ma_cross_ea.mq4","B","Trend","50","MA","True","True","clean"
"sixperiod_v31.mq4","B","Scalping","49","MA","True","True","clean"
"SLR_FXPROFIT.mq4","B","Trend","48","MA","True","True","clean"
"SLR_MoneyRain.mq4","B","Trend","48","MA","True","True","clean"
"SMC Autotrader Momentum.mq4","B","Scalping","49","MA","True","True","clean"
"SMC eur usd(28AUG05).mq4","B","Trend","54","MA, MACD, RSI","True","True","clean"
"SMC HiLo v1.1.mq4","B","Scalping","49","MA","True","True","clean"
"SMC HiLo v11.1.mq4","B","Scalping","49","MA","True","True","clean"
"SMC HiLo v11.mq4","B","Scalping","49","MA","True","True","clean"
"SMC MA 3BAR.mq4","B","Scalping","49","MA","True","True","clean"
"SMC MA xover.mq4","B","Scalping","53","MA","True","True","clean"
"SMC MA.mq4","B","Scalping","53","MA","True","True","clean"
"SMC MACD new idea.mq4","B","Trend","52","MA, MACD","True","True","clean"
"SMC Manual EA limit and_or stop order.mq4","B","Scalping","48","Donchian","True","True","clean"
"SMC Manual EA with seperation.mq4","B","Scalping","51","MA, Donchian","True","True","clean"
"SMC Manual EA.mq4","B","Scalping","51","MA, Donchian","True","True","clean"
"SMC Trader 2 MAs 12 26 EMA Basic.mq4","B","Scalping","49","MA","True","True","clean"
"SMC Trader 2 MAs 5 20 EMA.mq4","B","Scalping","49","MA","True","True","clean"
"SMC Trader 2 MAs 5 20 EMA1.mq4","B","Scalping","49","MA","True","True","clean"
"SMC Trader Aroon V1.3.mq4","B","Scalping","51","MACD, CCI","True","True","clean"
"SMC Trader Camel CCI MACD -ron02.mq4","B","Trend","53","MA, MACD, CCI","True","True","clean"
"SMC Trader Kurt v2.mq4","B","Trend","54","MA, MACD, RSI","True","True","clean"
"SMC-1.mq4","B","Scalping","51","MA, Donchian","True","True","clean"
"SMC_Shell.mq4","B","GridMartingale","48","MA","True","True","clean"
"SniperEA-V3.11_UNI.mq4","B","GridMartingale","56","MA","True","True","clean"
"souce of fx pips blaster.mq4","B","GridMartingale","57","MA","True","True","clean"
"Tesshinso.mq4","B","Scalping","54","RSI","True","True","clean"
"THV EA v2.mq4","B","Scalping","49","MA","True","True","clean"
"tiger.mq4","B","Trend","54","MA, ADX, RSI","True","True","clean"
"Trade Manager.mq4","B","Scalping","50","RSI","True","True","clean"
"Trailing Buy Stop.mq4","B","Scalping","49","","True","True","clean"
"Trailing Sell Stop.mq4","B","Scalping","49","","True","True","clean"
"Trailing Stop 5.mq4","B","Scalping","49","","True","True","clean"
"TrailingStop.mq4","B","Scalping","49","","True","True","clean"
"TrailingUdavka.mq4","B","Scalping","49","","True","True","clean"
"TrailingWithPartialClose.mq4","B","Scalping","53","MA, RSI","True","True","clean"
"TrailMe.mq4","B","Scalping","49","","True","True","clean"
"TrailMe1.mq4","B","Scalping","49","","True","True","clean"
"Trend Moving Average.mq4","B","GridMartingale","48","MA, RSI","True","True","clean"
"Trend Racing 3.51 ME Lite_tral_lasttp.mq4","B","MeanReversal","57","ADX, RSI, CCI","True","True","clean"
"Trend Racing 3.57 ME Lite.mq4","B","MeanReversal","53","ADX, RSI, CCI","True","True","clean"
"TrendlineOrder.mq4","B","Scalping","51","","True","True","clean"
"TrendScalper_GTR_beta.mq4","B","Scalping","53","","True","True","clean"
"TrendScalper_TR.mq4","B","Scalping","53","","True","True","clean"
"TrendScalper_TR1.mq4","B","Scalping","53","","True","True","clean"
"TrendScalper_TR_loosetest.mq4","B","Scalping","53","","True","True","clean"
"TrendScalper_TR_opbartr.mq4","B","Scalping","53","","True","True","clean"
"TrendTrading_EA_v1.1.mq4","B","Trend","57","MA, ADX","True","True","clean"
"TripleMA_Crossover_EA.mq4","B","Scalping","58","MA","True","True","clean"
"TripleMA_Crossover_expert.mq4","B","Scalping","58","MA","True","True","clean"
"TripleMA_Crossover_expert1.mq4","B","Scalping","58","MA","True","True","clean"
"TripleMA_Crossover_expert2.mq4","B","Scalping","58","MA","True","True","clean"
"Trix_EA.mq4","B","Scalping","54","MA","True","True","clean"
"True Scalper V11 Sergey.mq4","B","Scalping","53","MA, RSI","True","True","clean"
"True Scalper v4.mq4","B","Scalping","52","MA, RSI","True","True","clean"
"TrueBald.mq4","B","Scalping","53","MA","True","True","clean"
"TrueScalper_Ron_MT4_v02a TS.mq4","B","Scalping","56","MA, RSI, Donchian","True","True","clean"
"TrueScalper_Ron_MT4_v02a.mq4","B","Scalping","56","MA, RSI","True","True","clean"
"TrueScalper_Ron_MT4_v02a1.mq4","B","Scalping","56","MA, RSI","True","True","clean"
"TrueScalper_Ron_MT4_v04(08SEP05).mq4","B","Scalping","52","MA, RSI","True","True","clean"
"TrueScalper_Ron_MT4_v04.mq4","B","Scalping","52","MA, RSI","True","True","clean"
"TrueScalper_Ron_MT4_v041.mq4","B","Scalping","52","MA, RSI","True","True","clean"
"TrueScalper_Ron_MT4_v111.mq4","B","Scalping","53","MA, RSI","True","True","clean"
"TrueScalper_Ron_MT4_v112.mq4","B","Scalping","53","MA, RSI","True","True","clean"
"TrueScalper_Ron_Ruby_MT4_v111.mq4","B","Scalping","53","MA, RSI","True","True","clean"
"TRUE_SCALPER_V11b.mq4","B","Scalping","56","MA, RSI","True","True","clean"
"TurtleTraderV1_0_1.mq4","B","MultiStrategy","59","MA, ADX, RSI, Stochastic, CCI","True","True","clean"
"Two_MA_Cross.mq4","B","Scalping","56","MA, RSI","True","True","clean"
"Two_MA_Cross_EA.mq4","B","Scalping","55","MA","True","True","clean"
"virtual_trailing_stop.mq4","B","Scalping","48","","True","True","clean"
"Waygrow_edu v1.8 best.mq4","B","Scalping","59","MA, RSI","True","True","clean"
"XAU-iNDEX.mq4","B","GridMartingale","50","MA, RSI, Pivot","True","True","clean"
"XMT-Scalper_v2.45.mq4","B","MeanReversal","57","MA, RSI, Bollinger","True","True","clean"
"XMT-Scalper_v2.461.mq4","B","MeanReversal","57","MA, RSI, Bollinger","True","True","clean"
"XMT-Scalper_v2.522.mq4","B","MeanReversal","57","MA, RSI, Bollinger, Donchian","True","True","clean"
"XMT-Scalper_v2.mq4","B","MeanReversal","57","MA, RSI, Bollinger","True","True","clean"
"Adenan Scalping.mq4","C","GridMartingale","33","MA","True","True","obfuscated"
"AF-Investing.Cv.mq4","C","GridMartingale","41","RSI","False","True","clean"
"Algo Samurai.mq4","C","Unknown","37","","True","True","clean"
"amingrid.mq4","C","GridMartingale","43","MA, RSI","True","False","clean"
"another martingale fix.mq4","C","GridMartingale","46","MA, RSI","True","True","clean"
"AsiaScalperPro_.mq4","C","Scalping","12","","False","True","obfuscated"
"Auto Trading_v2.02.mq4","C","Trend","36","MA, RSI","False","False","clean"
"B l u e .mq4","C","Unknown","22","","False","True","clean"
"B l u e 2.mq4","C","Unknown","22","","False","True","clean"
"BEAST SUPER SIGNAL EXPERT ADVISOR.mq4","C","Unknown","10","","False","False","clean"
"Best-Grider.mq4","C","GridMartingale","43","RSI","True","False","clean"
"Big Rise EA.mq4","C","Unknown","10","","False","False","clean"
"BigRise EA.mq4","C","MeanReversal","42","RSI","True","False","clean"
"Bismillah Hedge..mq4","C","Breakout","32","","False","False","clean"
"BlessingLite-gamma.mq4","C","Trend","34","MA, RSI","False","False","clean"
"Blessing_3_v3.9.6.18.mq4","C","MeanReversal","28","RSI","False","False","clean"
"BLUE GOLD EA (FMP.SA).mq4","C","Unknown","10","","False","False","clean"
"Bollinger_Bands_Exit_Strategy.mq4","C","Trend","41","MA, Bollinger","False","True","clean"
"Boom EA.mq4","C","Unknown","31","RSI","True","False","clean"
"bot gold.mq4","C","Unknown","37","","True","True","clean"
"BreakOutBoxesV2.06.mq4","C","Breakout","40","","True","False","clean"
"Calculate Trendline Script.mq4","C","Unknown","14","","False","False","clean"
"CalendarFX-DeactivateEAs_v1.02_danEdit.mq4","C","Trend","39","MA, RSI","False","True","clean"
"ClickCloseAllv01.mq4","C","MeanReversal","33","RSI","False","False","clean"
"Close all positions at profit target v1.1.mq4","C","Breakout","29","","False","False","clean"
"Close All.mq4","C","MeanReversal","30","RSI","False","False","clean"
